"Name","Cont","Votes"
"Tillis Thom","12384994","100"
"Gardner Cory","7703171","100"
"Ernst Joni","5395587","100"
"Cotton Tom","4749047","86"
"Shaheen Jeanne","4019564","75"
"Cassidy Bill","3591044","88"
"Peters Gary","2855420","63"
"McConnell Mitch","2802630","88"
"Perdue David","1898215","88"
"Cochran Thad","1362756","100"
"Markey Ed","1162284","38"
"Sullivan Dan","961484","86"
"Roberts Pat","919261","100"
"Collins Susan M","622250","63"
"Rounds Mike","615911","83"
"Daines Steven","613018","100"
"Alexander Lamar","563234","88"
"Schatz Brian","540949","38"
"Lankford James","465436","88"
"Sasse Ben","397981","63"
"Graham Lindsey","292418","100"
"Capito Shelley Moore","237947","100"
"Warner Mark","204740","63"
"Franken Al","176644","50"
"Merkley Jeff","151772","38"
"Booker Cory","147727","50"
"Cornyn John","83884","100"
"Scott Tim","9476","75"
"Inhofe James M","7213","100"
"Reed Jack","5566","25"
"Toomey Pat","4222894","75"
"Burr Richard","2668065","75"
"Portman Rob","1572508","100"
"Johnson Ron","1343932","100"
"McCain John","1255184","88"
"Blunt Roy","713722","100"
"Shelby Richard C","480929","83"
"Isakson Johnny","287083","100"
"Murkowski Lisa","113864","88"
"Bennet Michael F","46443","63"
"Murray Patty","24054","38"
"Boozman John","16106","88"
"Moran Jerry","14478","88"
"Lankford James","5992","88"
"Hoeven John","3551","100"
"Thune John","1341","100"
"Kaine Tim","16031882","75"
"Brown Sherrod","11754981","50"
"Baldwin Tammy","10725266","63"
"Tester Jon","6092337","50"
"Nelson Bill","4274077","63"
"Heller Dean","4177848","100"
"Heinrich Martin","3105320","38"
"King Angus","3087734","63"
"Heitkamp Heidi","2659603","100"
"Flake Jeff","2449224","63"
"Warren Elizabeth","1445154","25"
"Fischer Deb","889978","100"
"McCaskill Claire","748798","75"
"Murphy Christopher S","366322","50"
"Menendez Robert","345348","50"
"Hirono Mazie K","252342","38"
"Hatch Orrin G","158462","100"
"Stabenow Debbie","116263","63"
"Cruz Ted","66308","100"
"Feinstein Dianne","35408","63"
"Gillibrand Kirsten","17934","25"
"Cardin Ben","10689","50"
"Klobuchar Amy","9440","63"
"Barrasso John A","4534","100"
"Corker Bob","2974","100"
